Predicted_Price,Lower_Bound,Upper_Bound
52.5244915906057,48.51895004295905,56.89951750354882
52.69963654496987,48.183334876764,57.09063765368925
52.71996845377706,48.5637706314117,57.13865524063385
52.782684808887765,48.70139978809656,56.82020977860476
52.68703863743821,48.73528763103627,56.70176409503515
52.74709682826211,48.56427348638718,56.8065296042765
52.58051488834755,48.22892891204476,56.77800217089335
52.49009900124171,48.05963160475663,56.86411958574496
52.44657659163617,48.08145603847036,57.06929900993813
52.2508865170478,47.839237348380586,56.86910948881408
52.2186836721845,47.58083621479262,56.68240000705556
51.309222050829725,47.21271827955174,55.55715534992322
51.18690549190643,47.27700463114586,55.51874162348468
51.835741837730055,47.50117975339854,56.3138361070434
51.69700513234965,47.275427549476674,55.79712519711277
51.6183510997969,47.643851356024406,55.646841085508925
51.40113351200048,47.25709687144618,55.744073114863305
51.36116926744163,47.15445379631698,55.42012428622832
50.45761910035437,46.335371090801,54.858524069634825
50.354541624825984,46.12646062587978,54.24066612437406
51.0353563407521,46.48492905082583,55.55990407171703
50.94051999398148,46.721707333919205,54.944278245019326
50.91666116680695,46.87714455702886,55.4065161963682
50.7639202268175,46.62755121876415,54.998191385459
50.796741868189855,46.60512819554776,54.75830388913462
49.97278648842813,45.64886755175573,54.086252349087445
49.95451735612523,45.38036015396938,54.40908993439063
50.723698395316575,46.2450314698443,54.80167775849303
50.71910614554983,46.58589666983018,55.16918375124904
50.7856999298761,46.74530885862509,55.23150467869212
50.721996525870615,46.382476206074486,54.757273266695776
50.84089577234523,46.84340214388799,55.03437310084036
50.09862260513589,45.8339994829426,54.41709309239038
50.15634179774504,45.56172630099596,54.76912333084937
50.9946796389471,46.44609364054357,55.261312405213374
51.05145561295343,46.69956831187791,55.45039294470764
51.17086773227042,47.09993199784102,55.24327435903031
51.1508775551804,46.85394882544635,55.57608994885354
51.30404118162033,47.40818440502754,55.68737238543958
50.58645170730278,46.70096644500241,55.04690804787444
50.65934952212325,46.31313807200523,54.82377335986758
51.50363491370046,47.37581082024639,55.44393529199009
51.55758638113527,47.2636817428898,55.475739122334566
51.66602874804652,47.09011476442805,55.80472621440498
51.6276976321716,47.56658622042111,56.17671974115876
51.756047161501776,47.47660228760918,56.0251470970695
51.0081670668963,46.671396360219774,55.30700008492018
51.04636622301333,46.88983729426776,55.43336412866872
51.85265780122055,47.6348318721767,56.37410023152307
51.866450140495935,47.660111856125965,55.85862597888257
51.933688105938245,47.5474423827402,56.64273414701808
51.85419213501709,47.855410735261714,55.77356677165432
51.94244245033727,47.37952532986256,56.06216069929612
51.156475089484594,47.26644702735217,55.25936803408747
51.15944726396442,46.8678648918813,55.3649514165494
51.9341075610271,47.64187885509445,56.26544305482428
51.92047534740857,47.36221792173267,56.09866625806211
51.9649742965254,47.814195136840496,56.32842737422691
51.867767288545366,47.79920488964113,56.1732248043263
51.9435401107601,47.66969387364105,55.8809929972951
51.150400460926754,46.808257703499976,55.568446358499685
51.151449528332805,46.91974117999815,55.51460299770849
51.92926134911358,47.67001725638299,55.96623617418402
51.9235739088069,47.59739191230704,56.12301122025633
51.98043647217062,47.717532758636025,56.21486499741366
51.899559906798245,47.73937845402816,56.41299252865788
51.99511691896824,47.45232944178113,56.676187059475694
51.22465818474924,46.99518168830434,55.71088737440267
51.2507011362625,47.18810630464687,55.67081597295482
52.0552261044453,47.352239199316536,56.65470512177417
52.07738332962136,47.55700211162689,56.24108680664465
52.16265490445071,47.53652191587626,56.631237862420925
52.11021805723919,47.81842307473882,56.3370425822998
52.23375640141322,47.932827852556855,56.31270090624375
51.49038491407477,47.24607773459389,55.77274356496064
51.54224526027696,47.12604500220664,55.62864401594839
52.37100609980114,47.91328654354226,56.50537364187671
52.4155719013681,48.07863347698734,56.52217529883164
52.521244417455705,48.36883531668152,56.97706858935225
52.4870833864433,48.3026726748428,56.72117084692149
52.62671330901568,48.164806275246136,57.14689311299337
51.89724233660497,47.22547274828522,56.15135352145549
51.960850206254094,47.6570244540298,56.62982675198475
52.799280207867874,48.39774536860188,56.97494459644396
52.85153907677776,48.4727984296276,57.20933053885115
